n_theta,tau_pinv,lambda_min,lambda_max,lambda_min_resolved,numerical_rank,nullity,rank_fraction,resolved_condition_number,effective_rank_gamma,gamma_over_lambda_max,F_raw,F_SAEPS_gamma,F_VP0,Delta_VP_gamma,relative_finite_vs_undamped,retained_fraction_gamma,retained_fraction_VP0,benchmark,seed,analysis_valid_v3,gamma,alpha,source,source_sha256,exact_gamma0_status,H_red_exact_0,E_VP0_exact0,E_raw_exact0
33,4.683621233174033e-09,-4.8294253582197136e-11,639186.5103171854,1.894030320854705e-06,29,4,0.8787878787878788,337474275506.1833,23.173867868155963,9.999999999999997e-09,102.52155901088285,6.15844832011841,5.716014415514039,0.44243390460437126,0.071841782359464,0.06006978804784542,0.0557542674015255,allen_cahn,75,True,0.006391865103171852,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_75.json,b005c48821a818eca397a9e4f6c878d5d36bf297c95edbd04e9d53f4e9e93151,NOT_CLASSICALLY_ADMISSIBLE,,,
33,5.240200554637737e-09,2.73582270257748e-10,715144.401976157,6.886001013051284e-07,32,1,0.9696969696969697,1038548209070.4288,24.793618086290273,1.0000000000000004e-08,140.5148652184539,9.142173335075142,8.927071934304536,0.2151014007706067,0.023528475412958678,0.06506196565653108,0.06353115679558818,allen_cahn,76,True,0.0071514440197615724,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_76.json,bc8cf9109132040319e2c7278cb8823ab23e42fd669bbad93afc7b0d7fe0161e,NOT_CLASSICALLY_ADMISSIBLE,,,
33,1.1020000828268948e-09,1.6272405108759355e-07,150392.94431458967,1.6272405108759355e-07,33,0,1.0,924220748619.5995,27.456577352693273,9.999999999999999e-09,107.40255397801012,6.4311434961229565,6.0842268282500385,0.3469166678729181,0.0539432322638464,0.05987886933712662,0.05664880957575496,allen_cahn,77,True,0.0015039294431458965,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_77.json,3d707ba0ee110688bbe955d5044b6f1938261f589d2b58b75fe181ebc2807c83,NOT_CLASSICALLY_ADMISSIBLE,,,
33,9.632197311318142e-10,1.7838144793799256e-08,131453.21279397418,1.7838144793799256e-08,33,0,1.0,7369219967295.524,26.21782771730824,9.99999999999999e-09,109.86907313257217,6.145287155246663,5.630826864361609,0.5144602908850544,0.08371623278965266,0.055932820583928365,0.0512503355477227,allen_cahn,78,True,0.0013145321279397404,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_78.json,637368ec4fa0bb0e5025e71f9e130c1abab65af1fcb497e2d631092e01ec0768,NOT_CLASSICALLY_ADMISSIBLE,,,
33,6.677259410274361e-09,3.896968317048222e-10,911263.7270293257,1.1507971084258167e-07,32,1,0.9696969696969697,7918543767248.855,25.792198242485764,1.0000000000000004e-08,90.78747614500276,5.085703601311479,4.78223808360471,0.3034655177067691,0.05967031130792003,0.0560176779580122,0.052675085668938276,allen_cahn,79,True,0.00911263727029326,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_79.json,f245f5791150ab94e672b3751b8f08c2161cec27ddbcbe5c50de47c526834645,NOT_CLASSICALLY_ADMISSIBLE,,,
33,1.5169047247630115e-08,3.9240169399952336e-10,2070161.0767270434,2.1122772456038757e-08,32,1,0.9696969696969697,98006124955211.94,23.0247444537026,1e-08,81.08100811150594,5.183140175690696,4.295953396698636,0.88718677899206,0.17116781472385262,0.06392545303041408,0.0529834729088551,allen_cahn,80,True,0.020701610767270433,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_80.json,df584bfaf877afebed06f5cbef9fc816df1b424e4cb4af8d36a483cdc8659966,NOT_CLASSICALLY_ADMISSIBLE,,,
33,2.013441329176729e-09,4.868666891350924e-09,274779.8066609901,4.868666891350924e-09,33,0,1.0,56438407636622.29,27.277795887057497,1.0000000000000005e-08,113.15799559136367,6.436992955433283,6.153019946658858,0.28397300877442433,0.044115786718948155,0.0568850033247192,0.05437547664664063,allen_cahn,82,True,0.0027477980666099026,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_82.json,ed9176c5b69126855a0a097ff0ccb778761d606e671f88dad5ed4d6545c5c1e5,NOT_CLASSICALLY_ADMISSIBLE,,,
33,4.300287152746881e-09,4.4503257488038505e-13,586871.8672332419,1.939436806717166e-08,31,2,0.9393939393939394,30259911805356.758,24.515858623175205,9.999999999999992e-09,94.0753856371754,6.12594002103404,5.378332102036808,0.7476079189972324,0.12203970577737414,0.0651173522121952,0.057170449694244715,allen_cahn,83,True,0.005868718672332415,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_83.json,7db6776bbcfe203f773d412edf83a938350335e1208850d199a0897e1f82598c,NOT_CLASSICALLY_ADMISSIBLE,,,
33,1.0654506465497385e-09,4.577796426060485e-07,145404.94347827445,4.577796426060485e-07,33,0,1.0,317630864165.37225,28.01385054619365,1e-08,120.46614457030421,6.723721684091643,6.384907796590937,0.33881388750070585,0.05039082563432583,0.055814201642086,0.05300167793503756,allen_cahn,84,True,0.0014540494347827445,1e-08,outputs/posthoc/exact_fixed_state_v3/allen_cahn/seed_84.json,b9c36ff5592c8bb1eb194728081363b05ba980b4020556db4b2041b03b85990c,NOT_CLASSICALLY_ADMISSIBLE,,,
65,9.409686534207734e-08,1.9302348545252573e-10,6519609.349097096,2.2181159909521866e-07,61,4,0.9384615384615385,29392553751431.082,44.034274104653214,1.0000000000000007e-08,702.2247518499003,32.652057044856406,17.24583240980155,15.406224635054855,0.4718301394969373,0.046498014999955095,0.02455885008947652,burgers,55,True,0.06519609349097101,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_55.json,0a9675fc92a1582e708edb6cf531f45cb49db7fb27b7a4be6e08e9621b92565f,NOT_CLASSICALLY_ADMISSIBLE,,,
65,4.1533358617545186e-08,-5.06173433074521e-11,2877686.436821872,1.1025002713274836e-07,53,12,0.8153846153846154,26101457855941.805,42.00600103470823,1.0000000000000005e-08,1070.667974369574,46.30577817728522,38.01974044697613,8.28603773030909,0.17894176611817086,0.04324942866115967,0.03551029951125861,burgers,56,True,0.028776864368218733,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_56.json,910873f8b314ebfdf7e7db39d6b7679e6c727c20114b80440423621155de33bc,NOT_CLASSICALLY_ADMISSIBLE,,,
65,4.468359161594369e-08,-4.372604026688296e-11,3095953.9469406065,3.6840429281566747e-07,61,4,0.9384615384615385,8403685861743.417,47.76244014116822,1e-08,772.2117124338528,26.286162056833064,20.302591787296365,5.983570269536699,0.2276319477268442,0.03404009759704949,0.026291483877273453,burgers,58,True,0.030959539469406064,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_58.json,9e5771bdbdc7b11449cd6e5b12535f354f05c29462b2080aab05a6c088529115,NOT_CLASSICALLY_ADMISSIBLE,,,
65,1.4226416450006401e-08,1.557924756531079e-09,985693.5972779434,2.0974850740809834e-08,64,1,0.9846153846153847,46994069681750.98,51.04342288320444,1.0000000000000005e-08,892.3362112979551,34.27643643188878,28.813823127860132,5.46261330402865,0.159369347315022,0.03841202004122606,0.03229032147641834,burgers,59,True,0.00985693597277944,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_59.json,c114a44f04d4fa224ac87315a478f79a22596d161a0c12579f998cf31be74b69,NOT_CLASSICALLY_ADMISSIBLE,,,
65,3.982703433076069e-08,1.7875012657230867e-08,2759461.799558243,6.718755489514032e-08,64,1,0.9846153846153847,41071025785429.125,49.84156447205007,1.0000000000000017e-08,1250.5036533443342,39.75314580743634,34.88175380321741,4.871392004218933,0.12254104433874176,0.031789707851809096,0.027894163851444977,burgers,60,True,0.027594617995582476,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_60.json,e9279d0066d2e70f795eff0bd9a61085ddafe6ea718ebaf52f0166fe438f4252,NOT_CLASSICALLY_ADMISSIBLE,,,
65,7.324990525998177e-08,-5.059232503293601e-12,5075203.785135047,5.348931632889796e-07,59,6,0.9076923076923077,9488256970660.016,44.785198389912956,1.0000000000000002e-08,704.7487969946567,24.00459265308473,16.866949248246897,7.137643404837831,0.29734490832724686,0.03406120415593519,0.02393327852445384,burgers,62,True,0.050752037851350476,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_62.json,1ec4ec3b09ca34c62c863d8744fac2f5560b445cd55c6c1c9b4778b8babb352e,NOT_CLASSICALLY_ADMISSIBLE,,,
65,3.3152740200761746e-08,-1.7372780006352714e-11,2297025.667914792,8.242842930482464e-08,57,8,0.8769230769230769,27866910570626.926,48.859516635047676,9.999999999999995e-09,1010.2533599991707,38.109178818070404,33.38049355099383,4.728685267076571,0.12408258095536613,0.0377223974965069,0.03304170505408785,burgers,64,True,0.02297025667914791,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_64.json,e627436c9468e2e3060aa3d3ad9120ccdd6d8c67e6a301c3b7b7ddc5311be627,NOT_CLASSICALLY_ADMISSIBLE,,,
65,3.672368965759529e-08,7.392295800196878e-09,2544443.000886398,4.166388217304859e-08,64,1,0.9846153846153847,61070713245544.36,50.744663200216216,1.0000000000000005e-08,732.6923392031498,25.775751814579166,19.679521489446756,6.09623032513241,0.23651028170278954,0.03517950227596478,0.026859188279284463,burgers,65,True,0.025444430008863993,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_65.json,2cbb071aa476043dc13283501ddc231a6ddf14f6dc242c34c39d17a78b01bc02,NOT_CLASSICALLY_ADMISSIBLE,,,
65,5.922286455638159e-08,7.784184229458792e-13,4103324.1653528227,2.3556574598324787e-07,60,5,0.9230769230769231,17419018831560.63,47.536875037606315,1.0000000000000004e-08,808.1265137849623,30.174403849146415,21.635386083812023,8.539017765334393,0.2829887809944606,0.03733871285551664,0.02677227601713,burgers,66,True,0.041033241653528243,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_66.json,0825ba2c573b65180691f28433ed5d0ee1785061a47d974cfc017217682883ce,NOT_CLASSICALLY_ADMISSIBLE,,,
65,7.618213664316993e-09,-8.682002276692236e-11,527836.6803053358,3.644143811508108e-08,55,10,0.8461538461538461,14484518383671.955,46.902064404949364,9.999999999999999e-09,1365.0153813492877,32.960739826682584,29.716136115843938,3.2446037108386463,0.09843843696820391,0.024146790048696458,0.02176981777778225,burgers,67,True,0.005278366803053357,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_67.json,8fd2dbdb2b09d82c1bc069362ba0d041e993f5d608416b7066e121e378517cae,NOT_CLASSICALLY_ADMISSIBLE,,,
65,4.4586795506702373e-08,-2.940805791090943e-11,3089247.3173789126,1.3342336108976466e-07,60,5,0.9230769230769231,23153721298480.305,46.32062644686432,9.999999999999999e-09,693.9658566270664,27.186690240649,18.052676607224157,9.134013633424843,0.33597372645266355,0.03917583261629971,0.026013782140474343,burgers,68,True,0.030892473173789122,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_68.json,0e291feac3f34c20b92ff0882abd768a6a853ea2142399f119eb0f1bf39eeac2,NOT_CLASSICALLY_ADMISSIBLE,,,
65,3.136439850562113e-08,-3.5641632886997713e-13,2173118.360347924,5.97670427374435e-08,60,5,0.9230769230769231,36359810705281.65,45.88978708495005,1e-08,587.8227037777641,23.60100164378707,16.92442225572711,6.676579388059963,0.28289389942009613,0.04014986405273283,0.028791712444855923,burgers,69,True,0.02173118360347924,1e-08,outputs/posthoc/exact_fixed_state_v3/burgers/seed_69.json,08bfd58eae9a6ecab524e7c8ad84968f73eac544cd0765dd1247c26155c7da16,NOT_CLASSICALLY_ADMISSIBLE,,,
