architecture,label,state_parameters,residuals,data_seed,initialization_seed,noise_level,available,failure_reason,gamma,minimum_state_eigenvalue,objective,normalized_state_gradient,polish_iterations,train_seconds,kappa_estimate,kappa_relative_error,F_raw,F_se_GN,H_fix_exact,H_red_exact,E_raw,E_SAEPS,E_fix,E_GN_fix,E_relax,hvp_max_relative_difference
2_16_1,base_2_16_1,65,368,916101,926001,0.02,True,,0.006987067058612581,0.00698235078579344,0.004069409507705936,8.254092526857885e-09,69238,253.52670020000005,1.186443115695761,0.011297403586865706,31.670743959248476,1.6769591489602504,31.672799897763817,1.6792251829583655,17.86033159939241,0.0013494521209051888,17.86155593697617,0.9469887378960765,7.0046829930166676e-06,2.157320173740651e-16
2_16_1,base_2_16_1,65,368,916101,926002,0.02,True,,0.003585106811570664,0.003456186377723611,0.005728657723998565,3.614756814795166e-08,65067,250.56378320000113,1.180117167765809,0.01656902686182571,31.70580026084399,1.6498767784663002,31.708672326546292,1.653859625215393,18.17079272976799,0.0024082132874438645,18.172529313478687,0.9478770717163171,3.6958508358022406e-05,5.6304183203437775e-16
2_16_1,base_2_16_1,65,368,916102,926001,0.02,True,,0.0052637784474538875,0.005232760686986592,0.006698745666086648,8.670169030035928e-08,70002,270.5297656999992,1.2079340174448265,0.00661168120402215,29.721955700468804,1.6922787809087652,29.720381102287334,1.6907653590283616,16.578994847492787,0.0008951105269404246,16.57806355435755,0.9431129706466548,2.182559390226758e-06,6.684843242656102e-16
2_16_1,base_2_16_1,65,368,916102,926002,0.02,True,,0.0013026535390027064,0.0012122011957523674,0.0040321803478467495,1.3075669995126189e-08,70694,284.00535149999996,1.206413807243888,0.005344839369906633,29.733447637742707,1.652118388003931,29.732236339183075,1.6505507289957606,17.014258480677388,0.0009497793500878127,17.01352460529203,0.9444741700538224,1.2690137385571163e-05,5.427591048373256e-16
2_16_1,base_2_16_1,65,368,916103,926001,0.02,True,,0.0027136461379714595,0.002692005398134995,0.0040591790822526695,1.2207842369914331e-08,71962,273.8385244000001,1.1823064270256407,0.014744644145299376,29.479258833117253,1.7703629134303327,29.48047717747744,1.7717379468357706,15.638611104638542,0.0007760929883184372,15.639298759579548,0.9399066284943637,5.654860146857384e-06,2.801772861786579e-16
2_16_1,base_2_16_1,65,368,916103,926002,0.02,True,,0.003111952062411871,0.0029900169796880822,0.00510656855225688,3.165526668309463e-08,71938,275.85704330000044,1.1806896725699367,0.01609193952505269,29.48917494147168,1.7755980314372515,29.48990509769642,1.7762308483759632,15.602107103596946,0.0003562695331677496,15.602518174163194,0.9397648723800608,3.512319770899819e-06,3.621236158773831e-16
2_32_1,wide_2_32_1,129,368,916101,926001,0.02,True,,0.00595552114457445,0.005380218704044445,0.004756533328285197,4.143574887078173e-08,67488,625.3633279000005,1.1608562512394454,0.0326197906337955,31.82814750408795,1.6451464862639114,31.833509877136844,1.650930794559482,18.278910676441498,0.003503664889888627,18.282158767175577,0.9481518414034596,1.3979429835451899e-05,5.925881475899078e-16
2_32_1,wide_2_32_1,129,368,916101,926002,0.02,True,,0.0011739484484968466,0.0011094324018997494,0.005651030668002356,9.369945368655587e-09,88948,605.4934092000003,1.1401832912605043,0.049847257282913025,31.949296244222577,1.6455978613954514,31.956211529837244,1.6529419314416565,18.32874679576293,0.004443029644344164,18.332930418575863,0.9482882019681819,1.4149774498888569e-05,4.1154485782500674e-16
2_32_1,wide_2_32_1,129,368,916102,926001,0.02,True,,0.002115254586913638,0.0020445213362839036,0.0038560341069728554,6.633462521327402e-08,75102,522.5071968000011,1.198350793833142,0.0013743384723817014,29.777893248054017,1.6564872500324412,29.778253789981402,1.6567986028368047,16.973151973532676,0.00018792435118613905,16.9733695871428,0.9443604781835507,1.7491670568623376e-06,4.2270537823459695e-16
2_32_1,wide_2_32_1,129,368,916102,926002,0.02,True,,0.0027078304743012763,0.002658386031258543,0.00414050213353333,3.3185369216303784e-08,76560,491.79809679999926,1.209530316366742,0.007941930305618294,29.714527387354075,1.6623134625278162,29.713847136328138,1.6609975501353098,16.889567155615474,0.0007922422188261329,16.889157611951916,0.9440788258309657,2.265942233033322e-05,4.2143779718899603e-16
