architecture,label,state_parameters,residuals,data_seed,initialization_seed,noise_level,centre_available,failure_reason,polish_iterations,normalized_state_gradient,train_seconds,reference_reduction_status
2_16_1,base_2_16_1,65,368,916101,926001,0.02,True,,69238,8.254092526857885e-09,253.52670020000005,PASS
2_16_1,base_2_16_1,65,368,916101,926002,0.02,True,,65067,3.614756814795166e-08,250.56378320000113,PASS
2_16_1,base_2_16_1,65,368,916102,926001,0.02,True,,70002,8.670169030035928e-08,270.5297656999992,PASS
2_16_1,base_2_16_1,65,368,916102,926002,0.02,True,,70694,1.3075669995126189e-08,284.00535149999996,PASS
2_16_1,base_2_16_1,65,368,916103,926001,0.02,True,,71962,1.2207842369914331e-08,273.8385244000001,PASS
2_16_1,base_2_16_1,65,368,916103,926002,0.02,True,,71938,3.165526668309463e-08,275.85704330000044,PASS
2_32_1,wide_2_32_1,129,368,916101,926001,0.02,True,,67488,4.143574887078173e-08,625.3633279000005,PASS
2_32_1,wide_2_32_1,129,368,916101,926002,0.02,True,,88948,9.369945368655587e-09,605.4934092000003,PASS
2_32_1,wide_2_32_1,129,368,916102,926001,0.02,True,,75102,6.633462521327402e-08,522.5071968000011,PASS
2_32_1,wide_2_32_1,129,368,916102,926002,0.02,True,,76560,3.3185369216303784e-08,491.79809679999926,PASS
2_32_1,wide_2_32_1,129,368,916103,926001,0.02,True,,82042,6.192249910936054e-08,514.2474034999996,PASS
2_32_1,wide_2_32_1,129,368,916103,926002,0.02,True,,75439,1.4191573670807668e-08,529.8939018000001,PASS
2_16_16_1,deep_2_16_16_1,337,368,916101,926001,0.02,True,,72152,3.097639848891303e-08,367.0515450999992,PASS
2_16_16_1,deep_2_16_16_1,337,368,916101,926002,0.02,True,,65183,7.827907412049944e-08,365.2685265,PASS
2_16_16_1,deep_2_16_16_1,337,368,916102,926001,0.02,True,,88683,5.385201855119581e-08,374.7134256999998,PASS
2_16_16_1,deep_2_16_16_1,337,368,916102,926002,0.02,True,,100000,4.396553223402904e-08,351.16801470000064,PASS
2_16_16_1,deep_2_16_16_1,337,368,916103,926001,0.02,True,,65275,4.610589328169971e-08,385.88026960000025,PASS
2_16_16_1,deep_2_16_16_1,337,368,916103,926002,0.02,True,,66709,2.5661272522494257e-08,393.86003809999966,PASS
