alpha,binding_valid,budget_exhausted_at_1e-06,budget_exhausted_at_1e-08,budget_exhausted_at_1e-10,closure_calls_to_1e-06,closure_calls_to_1e-08,closure_calls_to_1e-10,gamma,inner_iterations_to_1e-06,inner_iterations_to_1e-08,inner_iterations_to_1e-10,lambda_max_G_theta_theta,newton_step_norm,normalized_full_gradient_at_anchor,normalized_gradient_after_1e-06,normalized_gradient_after_1e-08,normalized_gradient_after_1e-10,objective_sum_at_anchor,penalty_objective_after_1e-06,penalty_objective_after_1e-08,penalty_objective_after_1e-10,penalty_objective_at_anchor,penalty_objective_change_1e-06_to_1e-08,penalty_objective_change_1e-08_to_1e-10,point_id,raw_gradient_norm_at_anchor,reached_1e-06,reached_1e-08,reached_1e-10,residual_count,seed,state_block_min_eigenvalue_plus_gamma,state_displacement_to_1e-06,state_displacement_to_1e-08,state_displacement_to_1e-10,terminal_status,theta_norm
1e-08,True,False,False,False,1251,1251,1251,0.0034764247629556167,625,625,625,347642.47629556165,0.10076876478455535,3.2619437953215897e-07,1.604167288352868e-07,1.604167288352868e-07,1.604167288352868e-07,0.004328664176367776,0.004328646939227281,0.004328646939227281,0.004328646939227281,0.004328664176367776,0.0,0.0,two_parameter:215,0.004029052193590666,True,False,False,736,215,0.0034442735657447543,9.43869602890521e-06,9.43869602890521e-06,9.43869602890521e-06,PASS,16.78218890731594
1e-08,True,False,False,False,1250,1250,1250,8.352518461952853,838,838,838,835251846.1952853,0.0006016557813763556,8.73825643734143e-08,5.402995218223124e-09,5.402995218223124e-09,5.402995218223124e-09,0.0069437114164123005,0.0069371828306638884,0.0069371828306638884,0.0069371828306638884,0.0069437114164123005,0.0,0.0,two_parameter:216,0.03468728059547983,True,True,False,736,216,8.350330534532908,0.0005756719466469979,0.0005756719466469979,0.0005756719466469979,PASS,539.346237647769
1e-08,True,False,False,False,1250,1250,1250,0.989577481710372,926,926,926,98957748.1710372,0.004515228668096385,1.6488497786769608e-07,2.963600828748463e-08,2.963600828748463e-08,2.963600828748463e-08,0.013442064587740835,0.013408546105869142,0.013408546105869142,0.013408546105869142,0.013442064587740835,0.0,0.0,two_parameter:217,0.031202166314028137,True,False,False,736,217,0.9895726611196834,0.0038991804408271043,0.0038991804408271043,0.0038991804408271043,PASS,257.11406980504046
1e-08,True,False,False,False,1251,1251,1251,0.539365701918219,625,625,625,53936570.191821896,3.309085862764313e-05,3.469084023755921e-08,2.782006572959471e-08,2.782006572959471e-08,2.782006572959471e-08,0.007744786366500767,0.007744786148436722,0.007744786148436722,0.007744786148436722,0.007744786366500767,0.0,0.0,two_parameter:218,0.005065460269432173,True,False,False,736,218,0.5393656598887866,7.107101588564014e-08,7.107101588564014e-08,7.107101588564014e-08,PASS,198.39297051345872
1e-08,False,False,False,False,1250,1250,1250,0.010217778027689424,962,962,962,1021777.8027689423,0.016215201846296823,9.7825308268024e-07,2.692682120427478e-08,2.692682120427478e-08,2.692682120427478e-08,0.016149229116316517,0.01613891612943725,0.01613891612943725,0.01613891612943725,0.016149229116316517,0.0,0.0,two_parameter:219,0.021103081506818715,True,False,False,736,219,0.010217948006336226,0.011452888207247368,0.011452888207247368,0.011452888207247368,CHECKPOINT_INVALID,29.310068732140646
1e-08,True,False,False,False,837,837,837,3.5117756454303874,497,497,497,351177564.5430387,0.00011435971096953576,5.894495074655936e-08,2.8030467679982165e-11,2.8030467679982165e-11,2.8030467679982165e-11,0.024781265853364823,0.02478107361724624,0.02478107361724624,0.02478107361724624,0.024781265853364823,0.0,0.0,two_parameter:220,0.016657604648045533,True,True,True,736,220,3.5117063969244176,0.00011411948356302805,0.00011411948356302805,0.00011411948356302805,PASS,383.9618953664578
1e-08,False,False,False,False,1251,1251,1251,0.9364647659424228,668,668,668,93646476.59424227,0.000582343099541124,8.231511715259422e-07,2.861379295438853e-08,2.861379295438853e-08,2.861379295438853e-08,0.005619915230455991,0.005613913418752572,0.005613913418752572,0.005613913418752572,0.005619915230455991,0.0,0.0,two_parameter:221,0.12769913857282333,True,False,False,736,221,0.9358725245578452,0.0003815542275994261,0.0003815542275994261,0.0003815542275994261,CHECKPOINT_INVALID,210.78055935170468
1e-08,True,False,False,False,1251,1251,1251,0.5439254742879828,814,814,814,54392547.42879828,0.0003146372279122355,1.0276799130597311e-07,4.473272969365157e-08,4.473272969365157e-08,4.473272969365157e-08,0.012750782313615362,0.012750408617655131,0.012750408617655131,0.012750408617655131,0.012750782313615362,0.0,0.0,two_parameter:222,0.01325700251203205,True,False,False,736,222,0.5439004932618368,9.622779498444356e-05,9.622779498444356e-05,9.622779498444356e-05,PASS,175.27083525772562
1e-08,True,False,False,False,1250,1250,1250,0.1667075138313655,721,721,721,16670751.38313655,0.015124682795128689,5.104691750530392e-07,7.339135972224352e-08,7.339135972224352e-08,7.339135972224352e-08,0.04256127456241119,0.042502233743491574,0.042502233743491574,0.042502233743491574,0.04256127456241119,0.0,0.0,two_parameter:223,0.031738237974443154,True,False,False,736,223,0.16636438453645078,0.011739601507347716,0.011739601507347716,0.011739601507347716,PASS,84.47641513134722
1e-08,True,False,False,False,1251,1251,1251,3.736022509960798,625,625,625,373602250.9960798,0.00022213926442665364,6.307613025686798e-08,1.2016456216684415e-07,1.2016456216684415e-07,1.2016456216684415e-07,0.05099215959006755,0.05099215457474328,0.05099215457474328,0.05099215457474328,0.05099215959006755,0.0,0.0,two_parameter:224,0.03053208228206586,True,False,False,736,224,3.736021834010212,1.9104558199152194e-07,1.9104558199152194e-07,1.9104558199152194e-07,PASS,657.6783845096795
