binding_valid,condition_number,gradient_term_norm,note,quantity,relative_error,required,seed,stationarity_parameter_gradient_norm,test,tolerance,transform
True,,,,F_se(lambda) - D F_se(a) D,9.333214075731256e-14,True,215,,parameter_coordinate_gn_equivariance,1e-10,
True,,,,H_red(lambda) - (D H_red(a) D + diag(a g_a)),9.508408094748549e-14,True,215,,parameter_coordinate_exact_equivariance_with_gradient_term,1e-10,
True,,0.29217169271031906,drops the gradient term; must fail at a non-stationary point,H_red(lambda) - D H_red(a) D,0.013183728899796389,False,215,0.37314916869558845,parameter_coordinate_exact_naive_without_gradient_term,1e-10,
True,1.000000000000001,,,"|penalty(z, T^T T) - penalty(theta)| relative",0.0,True,215,,state_metric_control1_metric_TtT_penalty,1e-10,orthogonal
True,1.000000000000001,,,"H_red(z, metric T^T T) - H_red(theta)",7.566290926344676e-12,True,215,,state_metric_control1_metric_TtT_reduced_curvature,1e-08,orthogonal
True,1.000000000000001,,"the identity metric changes the objective; invariance is not expected, and for the orthogonal transform the two metrics coincide","H_red(z, identity metric) - H_red(theta)",7.566290926344676e-12,False,215,,state_metric_control2_identity_metric_reduced_curvature,,orthogonal
True,1.000000000000001,,expected to be non-zero except for the orthogonal transform,"|penalty(z, identity metric) - penalty(theta)| relative",3.569100450701691e-16,False,215,,state_metric_control2_identity_metric_penalty,,orthogonal
True,10.0,,,"|penalty(z, T^T T) - penalty(theta)| relative",0.0,True,215,,state_metric_control1_metric_TtT_penalty,1e-10,diag_cond10
True,10.0,,,"H_red(z, metric T^T T) - H_red(theta)",1.951688598730065e-12,True,215,,state_metric_control1_metric_TtT_reduced_curvature,1e-08,diag_cond10
True,10.0,,"the identity metric changes the objective; invariance is not expected, and for the orthogonal transform the two metrics coincide","H_red(z, identity metric) - H_red(theta)",0.001841106583857551,False,215,,state_metric_control2_identity_metric_reduced_curvature,,diag_cond10
True,10.0,,expected to be non-zero except for the orthogonal transform,"|penalty(z, identity metric) - penalty(theta)| relative",0.6726585515745234,False,215,,state_metric_control2_identity_metric_penalty,,diag_cond10
True,100.0,,,"|penalty(z, T^T T) - penalty(theta)| relative",0.0,True,215,,state_metric_control1_metric_TtT_penalty,1e-10,diag_cond100
