data_seed,initialization_seed,noise_level,observed,status,valid,duplicate
916101,926001,0.0,True,PASS,True,False
916101,926001,0.02,True,PASS,True,False
916101,926002,0.0,True,PASS,True,False
916101,926002,0.02,True,PASS,True,False
916102,926001,0.0,True,PASS,True,False
916102,926001,0.02,True,PASS,True,False
916102,926002,0.0,True,PASS,True,False
916102,926002,0.02,True,PASS,True,False
916103,926001,0.0,True,PASS,True,False
916103,926001,0.02,True,PASS,True,False
916103,926002,0.0,True,PASS,True,False
916103,926002,0.02,True,PASS,True,False
916104,926001,0.0,True,PASS,True,False
916104,926001,0.02,True,PASS,True,False
916104,926002,0.0,True,PASS,True,False
916104,926002,0.02,True,PASS,True,False
916105,926001,0.0,True,PASS,True,False
916105,926001,0.02,True,PASS,True,False
916105,926002,0.0,True,PASS,True,False
916105,926002,0.02,True,PASS,True,False
916106,926001,0.0,True,PASS,True,False
916106,926001,0.02,True,PASS,True,False
916106,926002,0.0,True,PASS,True,False
916106,926002,0.02,True,PASS,True,False
