cohort,data_seed,initialization_seed,noise_level,E_raw,E_SAEPS,E_fix,E_GN_fix,E_relax,identity_residual
e3_development_1e5,916001,926001,0.0,17.993012638894015,0.0007599195684568745,17.99367449495195,0.0006618560579364782,5.44988798775999e-06,0.0
e3_development_1e5,916001,926002,0.0,18.149768006287047,0.0013401519756208915,18.150894233673426,0.001126227386379782,1.17858980616312e-05,0.0
e3_development_1e5,916001,926001,0.02,18.101522469314702,0.0020891796998437403,18.103603152997447,0.002080683682744105,4.6929978661340614e-07,0.0
e3_development_1e5,916001,926002,0.02,18.07284087366985,0.0021781831755183505,18.075090270867868,0.0022493971980142567,3.9398985788503795e-06,0.0
e3_development_1e5,916002,926001,0.0,14.325909665765263,0.0019946812356459193,14.324020444625196,0.001889221140067213,7.362464745767758e-06,0.0
e3_development_1e5,916002,926002,0.0,14.300269873380646,0.00042255777620905726,14.300698541822554,0.00042866844190654185,4.2729840625976437e-07,0.0
e3_development_1e5,916002,926001,0.02,14.282154166602103,0.0010462633835201713,14.2830228992778,0.000868732675697014,1.2429491222707626e-05,0.0
e3_development_1e5,916002,926002,0.02,14.32093832883822,0.00033419743309900067,14.321351419277326,0.0004130904391051717,5.508768248784171e-06,0.0
e3_heldout_1e5,916101,926001,0.0,18.31168219921138,0.0017403963281392933,18.313292939359663,0.0016107401482815197,7.079894382946762e-06,0.0
e3_heldout_1e5,916101,926002,0.0,17.953078994365505,0.0032895035355517198,17.955921582019098,0.002842587653593513,2.488960980191428e-05,0.0
e3_heldout_1e5,916101,926001,0.02,17.86033159939241,0.0013494521209051888,17.86155593697617,0.0012243375837629222,7.0046829930166676e-06,0.0
e3_heldout_1e5,916101,926002,0.02,18.17079272976799,0.0024082132874438645,18.172529313478687,0.0017365837107017872,3.6958508358022406e-05,0.0
e3_heldout_1e5,916102,926001,0.0,16.77815499482089,8.790369524439563e-06,16.778279765785616,0.00012477096472656565,7.960371150550118e-06,0.0
e3_heldout_1e5,916102,926002,0.0,16.82282812177325,0.0029058638905019637,16.82483077942484,0.0020026576515943654,5.368293152119751e-05,0.0
