benchmark,nominal_level,method,valid_rows,median_surrogate_coverage,min_surrogate_coverage,max_surrogate_coverage
Allen-Cahn,0.9,SAEPS,9,0.8542403596181534,0.8255892863209531,0.8798908151292593
Allen-Cahn,0.9,block,9,0.907736685941289,0.8977823088427175,0.9107438987269147
Allen-Cahn,0.9,raw,9,0.27800414358567127,0.25213188165986566,0.30823656727962434
Allen-Cahn,0.95,SAEPS,9,0.9169666141514687,0.8944140463330392,0.935985824544624
Allen-Cahn,0.95,block,9,0.9551551185320666,0.9484969917185211,0.9571205607650468
Allen-Cahn,0.95,raw,9,0.3283999732273193,0.29830493471757213,0.36336933458220333
Allen-Cahn,0.99,SAEPS,9,0.9772739426522001,0.9665699428847847,0.9850689513857165
Allen-Cahn,0.99,block,9,0.9916226617309576,0.9895068410229193,0.9922124955011817
Allen-Cahn,0.99,raw,9,0.42258789698050103,0.3853106727641,0.4653072257786639
Burgers,0.9,SAEPS,12,0.8935084615387274,0.8656449801762856,0.9164935053778043
Burgers,0.9,block,12,0.9119135725097666,0.881130692195913,0.9248227620153457
Burgers,0.9,raw,12,0.2410832788744275,0.20601858962316322,0.2804349437492657
Burgers,0.95,SAEPS,12,0.9455612306807747,0.925569940419368,0.9608158854152888
Burgers,0.95,block,12,0.9578784828332022,0.9368740142952316,0.9660161976851467
Burgers,0.95,raw,12,0.28540957903055975,0.24433039639934795,0.3312198073059398
Burgers,0.99,SAEPS,12,0.9885110037438241,0.980948498770017,0.9932768200772562
Burgers,0.99,block,12,0.9924351823014207,0.9854029232270411,0.9946719218899331
Burgers,0.99,raw,12,0.3692048548555963,0.3174234880367093,0.4260572737971462
