benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B1,0,k,0.19999999999999998,3981.636800950385,3978.83034351381,{},PASS,False
B1,1,k,0.21519792494506915,3541.592247216947,3538.785789780372,{},PASS,False
B1,2,k,0.23155073450331806,3113.6503382493006,3110.8438808127257,{},PASS,False
B1,3,k,0.24914618792310345,2701.100940762147,2698.294483325572,{},PASS,False
B1,4,k,0.26807871324513055,2307.264873825341,2304.458416388766,{},PASS,False
B1,5,k,0.2884499140614816,1935.4336594432475,1932.6272020066726,{},PASS,False
B1,6,k,0.31036911478307194,1588.8045176240291,1585.9980601874543,{},PASS,False
B1,7,k,0.33395394734177536,1270.412819158443,1267.606361721868,{},PASS,False
B1,8,k,0.35933098247582473,983.0647031066738,980.2582456700991,{},PASS,False
B1,9,k,0.38663640898635254,729.2729433757683,726.4664859391935,{},PASS,False
B1,10,k,0.4160167646103808,511.199344368635,508.3928869320602,{},PASS,False
B1,11,k,0.4476297224325762,330.60689828596736,327.80044084939254,{},PASS,False
B1,12,k,0.4816449370561384,188.824599897128,186.0181424605532,{},PASS,False
B1,13,k,0.5182449550738971,86.72716897358322,83.92071153700842,{},PASS,False
B1,14,k,0.5576261947257664,24.730994905753843,21.92453746917904,{},PASS,False
B1,15,k,0.6,2.806457436574802,0.0,{},PASS,False
B1,16,k,0.6455937748352074,20.505504822992474,17.69904738641767,{},PASS,False
B1,17,k,0.6946522035099544,77.00213855605324,74.19568111947844,{},PASS,False
B1,18,k,0.7474385637693103,171.14243474422216,168.33597730764737,{},PASS,False
B1,19,k,0.8042361397353917,301.5000896047302,298.6936321681554,{},PASS,False
B1,20,k,0.8653497421844449,466.43332803155477,463.62687059497995,{},PASS,False
B1,21,k,0.9311073443492158,664.1393980898295,661.3329406532547,{},PASS,False
B1,22,k,1.001861842025326,892.7037267355115,889.8972692989367,{},PASS,False
B1,23,k,1.0779929474274743,1150.1419671347057,1147.3355096981309,{},PASS,False
