condition,planned,valid,median_Fraw,median_Fse,median_effect,median_eta,median_theta_stationarity,median_parameter_stationarity,median_state_rmse
architecture=narrow,5,5,562.9750421571181,23.155103385135195,539.8199387719828,0.03961742428809935,0.003625040236063543,0.0010771979105588733,0.061816128072385935
architecture=wide,5,3,1014.2853618408036,22.90417880627531,978.6825635352677,0.03284584370208434,0.0026261974631796702,0.0011896251402283993,0.05581618075915986
noise=0.01_fraction=0.25,5,2,1001.6737478919979,15.75112777254995,985.922620119448,0.01652137480640018,0.005522633049797894,0.00604789850649274,0.0933435419511787
noise=0.01_fraction=0.5,5,4,848.4016042497356,20.743902782576704,825.7497147740319,0.026115211312841304,0.006390447186786608,0.003670055691453636,0.07371638811288665
noise=0.01_fraction=1.0,5,5,573.6571594765737,18.510925797611645,555.1462336789621,0.03226827294285267,0.008830846155636635,0.003924435177385391,0.0642007529707815
noise=0.05_fraction=0.25,5,4,974.2411671557238,14.262696835402657,959.9784703203211,0.014465754007477717,0.002633805852678381,0.002769296370099,0.09894611923253205
noise=0.05_fraction=0.5,5,4,833.3238240130611,21.484253276880033,811.0145911052085,0.02535003930038891,0.003133168465568112,0.000425404945761435,0.07834470078856176
noise=0.05_fraction=1.0,5,5,560.0689530792223,18.152416628083106,541.9165364511392,0.032411038905624585,0.008124371417600126,0.008574775749810467,0.05224810452153551
noise=0.0_fraction=0.25,5,4,839.6362883630529,13.813770915950393,825.8225174471025,0.01579555119236457,0.0051539220754663415,0.0018989463605995508,0.08653455329833092
noise=0.0_fraction=0.5,5,3,728.3820700278569,23.3750867259132,705.0069833019437,0.029921999930729318,0.007093270387736368,0.0064574334423000545,0.07879870655675787
noise=0.0_fraction=1.0,5,4,687.2868108959003,22.817868877369293,663.616453736551,0.03470583082229818,0.00913059498790727,0.0025762256313147836,0.05175306551480373
