source,benchmark,seed,step_budget,basis_dimension,raw_relative_error,gn_relative_error,corrected_relative_error,improved_over_gn,gn_to_corrected_error_ratio,defect_relative_norm,identity_relative_residual,minimum_gap_eigenvalue,maximum_positive_nested_increment_so_far,dense_oracle_gap_spectral_norm,floating_point_mu_bound,reference_minimum_eigenvalue,subspace_stalled_or_response_converged,reference_scalar,gn_scalar,corrected_scalar
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_75.json,Allen-Cahn,75,0,0,19.722305039087054,0.24478447346058754,0.0016478256359418889,True,148.5499849750001,0.008131321315508424,7.836300327640002e-13,0.008152454703889589,0.0,0.00815245470777291,7705.56083229638,4.9474012963461576,False,4.9474012963461576,6.158448320118325,4.955553751050047
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_75.json,Allen-Cahn,75,1,1,19.722305039087054,0.24478447346058754,6.298639255197649e-05,True,3886.307241021796,0.0014174239938891222,3.0640351695218514e-13,0.00031161896079368034,0.0,0.0003116189592776837,234.14320991275022,4.9474012963461576,False,4.9474012963461576,6.158448320118325,4.947712915306951
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_75.json,Allen-Cahn,75,3,3,19.722305039087054,0.24478447346058754,2.470028523757378e-08,True,9910188.125610158,2.2354181216875314e-05,6.63650435357485e-13,1.2220222345149523e-07,0.0,1.2220550679660054e-07,0.05823707339667654,4.9474012963461576,False,4.9474012963461576,6.158448320118325,4.947401418548381
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_75.json,Allen-Cahn,75,5,5,19.722305039087054,0.24478447346058754,5.055402371882214e-13,True,484203739789.4602,1.1128685995419893e-07,4.914253107802574e-13,2.5011104298755527e-12,0.0,4.9323886494883405e-12,1.4433437795269124e-06,4.9474012963461576,False,4.9474012963461576,6.158448320118325,4.947401296348659
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_75.json,Allen-Cahn,75,10,9,19.722305039087054,0.24478447346058754,3.6192085162338575e-13,True,676348080975.754,3.578603668864658e-12,3.619208529960503e-13,-1.7905676941154525e-12,1.6200374375330284e-12,3.171913948146747e-21,1.4924823822755353e-15,4.9474012963461576,True,4.9474012963461576,6.158448320118325,4.947401296344367
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_76.json,Allen-Cahn,76,0,0,16.21269974914594,0.1198920810829619,0.002911278446891108,True,41.18193545210081,0.0031480539228444155,8.943623722081614e-13,0.023766050914105108,0.0,0.023766050921427438,5132.950549388105,8.163441360400128,False,8.163441360400128,9.142173335096146,8.187207411314233
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_76.json,Allen-Cahn,76,1,1,16.21269974914594,0.1198920810829619,5.879511385178992e-05,True,2039.1504196281435,0.0004004994480739979,1.9164945996778534e-12,0.00047997046479508754,0.0,0.0004799704804411987,83.07810822474315,8.163441360400128,False,8.163441360400128,9.142173335096146,8.163921330864923
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_76.json,Allen-Cahn,76,3,3,16.21269974914594,0.1198920810829619,6.148244285722188e-08,True,1950021.4290668687,1.558468215805434e-05,1.4152666980300936e-12,5.01908317573907e-07,0.0,5.01919871021316e-07,0.12579942433356053,8.163441360400128,False,8.163441360400128,9.142173335096146,8.163441862308446
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_76.json,Allen-Cahn,76,5,5,16.21269974914594,0.1198920810829619,1.5026517902903877e-11,True,7978700179.087581,1.0201333461534541e-07,1.3412916322411096e-12,1.226680979016237e-10,0.0,1.336176534887839e-10,5.390097770082779e-06,8.163441360400128,False,8.163441360400128,9.142173335096146,8.163441360522796
outputs\posthoc\exact_fixed_state_v3\allen_cahn\seed_76.json,Allen-Cahn,76,10,10,16.21269974914594,0.1198920810829619,1.4239679847747187e-12,True,84195770104.99266,7.370592203224538e-13,1.4239679869268193e-12,-1.1624479157035239e-11,1.745092959026806e-11,3.3288651708038457e-21,2.813763046057109e-16,8.163441360400128,False,8.163441360400128,9.142173335096146,8.163441360388504
