phase,seed,label,solve_index,iterations,relative_residual
P2,14,,0,160,8.336947098067518e-11
P2,14,,1,163,5.5810845847854275e-11
P2,14,,0,160,8.511024374719752e-11
P2,14,,1,163,5.5810845847854275e-11
P2,14,,0,159,8.298025760984529e-11
P2,14,,1,163,5.5810845847854275e-11
P2,14,,0,160,5.603695903694383e-11
P2,14,,1,163,5.5810845847854275e-11
P2,14,,0,161,4.57152384079584e-11
P2,14,,1,163,5.5810845847854275e-11
P2,15,,0,148,8.578491855556713e-11
P2,15,,1,159,5.091617873339295e-11
P2,15,,0,156,3.2333154858674433e-11
P2,15,,1,159,5.091617873339295e-11
P2,15,,0,157,6.56803319952406e-11
P2,15,,1,159,5.091617873339295e-11
P2,15,,0,157,7.5050199816239e-12
P2,15,,1,159,5.091617873339295e-11
P2,15,,0,160,9.772506520324921e-12
P2,15,,1,159,5.091617873339295e-11
P2,17,,0,153,8.125798174069235e-12
P2,17,,1,160,6.917312095748258e-11
P2,17,,0,157,4.05493451305155e-11
P2,17,,1,160,6.917312095748258e-11
P2,17,,0,153,8.080802552010176e-11
P2,17,,1,160,6.917312095748258e-11
P2,17,,0,155,5.3647229727731544e-11
P2,17,,1,160,6.917312095748258e-11
P2,17,,0,155,7.926777838372782e-11
P2,17,,1,160,6.917312095748258e-11
P2,18,,0,141,5.163538838497222e-11
P2,18,,1,151,5.405326840945237e-11
P2,18,,0,141,6.596834661382369e-11
P2,18,,1,151,5.405326840945237e-11
P2,18,,0,147,2.4426770997687384e-11
P2,18,,1,151,5.405326840945237e-11
P2,18,,0,144,4.502566145546426e-11
P2,18,,1,151,5.405326840945237e-11
P2,18,,0,142,4.9090626335125687e-11
P2,18,,1,151,5.405326840945237e-11
P2,19,,0,174,1.0204180514446419e-11
P2,19,,1,169,9.345892831086777e-11
P2,19,,0,172,7.592968163875286e-11
P2,19,,1,169,9.345892831086777e-11
P2,19,,0,172,7.557127135821225e-11
P2,19,,1,169,9.345892831086777e-11
P2,19,,0,171,9.824566961063183e-11
P2,19,,1,169,9.345892831086777e-11
P2,19,,0,172,4.1224711180272977e-11
P2,19,,1,169,9.345892831086777e-11
P5,11,,0,315,8.257675587954027e-11
P5,11,,1,388,5.2732182861661877e-11
P5,12,,0,311,3.2339034461974885e-11
P5,12,,1,396,4.066937957519961e-11
P5,13,,0,338,6.306074253264114e-11
P5,13,,1,359,5.141702191776459e-11
P5,14,,0,331,7.781072101267622e-11
P5,14,,1,391,6.46405724232699e-11
P5,15,,0,244,7.519959635956383e-11
P5,15,,1,286,6.178155589367817e-11
P5,16,,0,259,9.809997629957538e-11
P5,16,,1,299,3.090282254302662e-11
P5,17,,0,296,2.3021419345339017e-11
P5,17,,1,344,4.4924047005481896e-11
P5,18,,0,288,2.378715559841112e-11
P5,18,,1,353,6.629886717084138e-11
P5,19,,0,231,7.62334175382574e-11
P5,19,,1,299,9.307824564844679e-11
P6,14,,0,378,1.1144361842896661e-11
P6,14,,1,374,3.7242508529818e-11
P6,14,,2,449,8.82998819700875e-11
P6,15,,0,410,8.271456822631362e-11
P6,15,,1,421,3.5959069953429464e-11
P6,15,,2,488,3.596947885623877e-11
P7,11,noise=0.0_fraction=1.0,0,315,8.257675587954027e-11
P7,11,noise=0.0_fraction=1.0,1,388,5.2732182861661877e-11
P7,12,noise=0.0_fraction=1.0,0,311,3.2339034461974885e-11
P7,12,noise=0.0_fraction=1.0,1,396,4.066937957519961e-11
P7,13,noise=0.0_fraction=1.0,0,338,6.306074253264114e-11
P7,13,noise=0.0_fraction=1.0,1,359,5.141702191776459e-11
P7,14,noise=0.0_fraction=1.0,0,331,7.781072101267622e-11
P7,14,noise=0.0_fraction=1.0,1,391,6.46405724232699e-11
P7,10,noise=0.0_fraction=0.5,0,307,9.129857617262716e-11
P7,10,noise=0.0_fraction=0.5,1,380,5.118930646195176e-11
P7,11,noise=0.0_fraction=0.5,0,245,1.6920136985835016e-11
P7,11,noise=0.0_fraction=0.5,1,289,5.970639254603432e-11
P7,13,noise=0.0_fraction=0.5,0,331,3.768683579704935e-11
