candidate,seed,cg_converged,cg_iterations,cg_relative_residual,explicit_eta,explicit_mf_relative_error,gamma,gamma_alpha
Allen-Cahn,0,False,500,0.0006027888742204347,0.04433579786971401,0.006324799316265893,2.4374196470546506e-07,1e-12
Allen-Cahn,0,True,355,2.8272095258207027e-11,0.04646107663007009,2.328959269297487e-08,2.4374196470546508e-05,1e-10
Allen-Cahn,0,True,138,2.9052434021744283e-11,0.055630209445931146,1.298503757809882e-08,0.002437419647054651,1e-08
Allen-Cahn,0,True,57,4.5862791555583076e-11,0.0642434822216536,3.0404819509514104e-09,0.24374196470546505,1e-06
Allen-Cahn,0,True,27,7.410882352781832e-11,0.12662281388355212,4.708110663286431e-10,24.374196470546508,0.0001
Allen-Cahn,0,True,13,5.453113748976854e-12,0.6779590616523974,5.167153030924726e-13,2437.419647054651,0.01
Allen-Cahn,1,False,500,8.711294117148864e-06,0.05252645668483381,0.005292474501889268,1.1164732653284407e-07,1e-12
Allen-Cahn,1,True,390,5.5301471447171624e-11,0.057210723351757385,2.0280293523307953e-07,1.1164732653284407e-05,1e-10
Allen-Cahn,1,True,166,6.449614646170086e-11,0.06504020976283398,7.052890319868244e-08,0.0011164732653284408,1e-08
Allen-Cahn,1,True,68,2.6692314257961242e-11,0.07340734722566222,1.817320790046103e-09,0.11164732653284407,1e-06
Allen-Cahn,1,True,29,4.148311790765907e-11,0.1579424499592931,1.4237364190085766e-10,11.164732653284409,0.0001
Allen-Cahn,1,True,12,3.608825970194562e-11,0.6354405892673896,8.965461781892446e-12,1116.4732653284407,0.01
Allen-Cahn,2,False,500,2.070510119962351e-06,0.05136025299113855,0.01137613554707555,5.608845225126271e-08,1e-12
Allen-Cahn,2,True,369,8.177131235836717e-11,0.053768222214973425,6.556891477669479e-07,5.608845225126272e-06,1e-10
Allen-Cahn,2,True,168,9.919119007894632e-11,0.06466990816389122,4.0482682869030496e-08,0.0005608845225126271,1e-08
Allen-Cahn,2,True,76,8.899613100167598e-11,0.07209116577791401,1.3269765619491178e-09,0.056088452251262716,1e-06
Allen-Cahn,2,True,30,6.9826550647917e-11,0.10801180204481275,3.474773819710466e-10,5.608845225126272,0.0001
Allen-Cahn,2,True,14,3.168031972623235e-11,0.5180250725415257,1.837131405020694e-11,560.8845225126272,0.01
Burgers,0,False,500,7.506049009594077e-07,0.03034988753657944,0.0165782780878188,2.0507449975007437e-07,1e-12
Burgers,0,True,497,4.396057576047817e-11,0.031091081515844932,5.806451019881996e-07,2.050744997500744e-05,1e-10
Burgers,0,True,205,9.346020179719627e-11,0.03240283711808542,1.345069175261804e-07,0.0020507449975007436,1e-08
Burgers,0,True,94,8.8569360352715e-11,0.05219137752695591,4.2854045301636314e-09,0.20507449975007436,1e-06
Burgers,0,True,37,3.488467537079426e-11,0.21308752969113792,2.2473219799151607e-10,20.50744997500744,0.0001
Burgers,0,True,14,2.7268457768543008e-11,0.7250168924531166,8.678968203377666e-12,2050.744997500744,0.01
Burgers,1,False,500,7.156758884302061e-06,0.03700346580523979,0.11023721916290624,1.2437157977365062e-07,1e-12
Burgers,1,False,500,7.111678761395902e-08,0.04139681673677061,5.618714782217288e-06,1.2437157977365062e-05,1e-10
Burgers,1,True,256,9.38915952701114e-11,0.0436023770397493,2.0817164506653703e-08,0.0012437157977365062,1e-08
Burgers,1,True,108,3.078674401293712e-11,0.07145125638014406,1.9364168850514253e-09,0.12437157977365061,1e-06
Burgers,1,True,41,9.610440526059238e-11,0.297571625094246,5.147451906030106e-10,12.437157977365063,0.0001
Burgers,1,True,15,9.664844634013908e-11,0.6697297748764249,8.382968284681994e-11,1243.7157977365061,0.01
Burgers,2,False,500,0.0009538958483174418,0.02113888371144143,0.12075698654445348,1.748384560448767e-07,1e-12
Burgers,2,False,500,0.0001883343380059991,0.022136858258929085,0.0038390252829501223,1.748384560448767e-05,1e-10
Burgers,2,True,310,4.33776285080071e-11,0.024978605678655105,1.1933279494240737e-07,0.0017483845604487672,1e-08
Burgers,2,True,121,7.301911815094089e-11,0.06072513717592404,1.1987347473213213e-08,0.17483845604487672,1e-06
Burgers,2,True,43,5.7163363159907863e-11,0.33943163155314826,5.417591379194647e-10,17.483845604487673,0.0001
Burgers,2,True,17,1.0420514807310147e-11,0.7308545781699617,3.131600409824721e-12,1748.3845604487672,0.01
