seed,status,fit_status,r_squared,locked_minimum_r_squared,r_squared_margin,normalized_rmse
10,CHECKPOINT_INVALID,,,0.99,,
11,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
12,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
13,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
14,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
15,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
16,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
17,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
18,PASS,PASS,0.9998238817412815,0.99,0.00982388174128146,0.004467022823679155
19,PROFILE_FAILURE,PROFILE_FAILURE,,0.99,,
