phase,seed,label,status,theta_stationarity,parameter_stationarity
P2,10,,CHECKPOINT_INVALID,0.011402142035860952,
P2,10,,CHECKPOINT_INVALID,0.011402142035860952,
P2,10,,CHECKPOINT_INVALID,0.011402142035860952,
P2,10,,CHECKPOINT_INVALID,0.011402142035860952,
P2,10,,CHECKPOINT_INVALID,0.011402142035860952,
P2,11,,CHECKPOINT_INVALID,0.01898600273493288,
P2,11,,CHECKPOINT_INVALID,0.01898600273493288,
P2,11,,CHECKPOINT_INVALID,0.01898600273493288,
P2,11,,CHECKPOINT_INVALID,0.01898600273493288,
P2,11,,CHECKPOINT_INVALID,0.01898600273493288,
P2,12,,CHECKPOINT_INVALID,0.01707289720409125,
P2,12,,CHECKPOINT_INVALID,0.01707289720409125,
P2,12,,CHECKPOINT_INVALID,0.01707289720409125,
P2,12,,CHECKPOINT_INVALID,0.01707289720409125,
P2,12,,CHECKPOINT_INVALID,0.01707289720409125,
P2,13,,CHECKPOINT_INVALID,0.0112128913415081,
P2,13,,CHECKPOINT_INVALID,0.0112128913415081,
P2,13,,CHECKPOINT_INVALID,0.0112128913415081,
P2,13,,CHECKPOINT_INVALID,0.0112128913415081,
P2,13,,CHECKPOINT_INVALID,0.0112128913415081,
P2,14,,PASS,0.0019176814675438208,0.028542421232914537
P2,14,,PASS,0.0019176814675438208,0.09591900006203571
P2,14,,PASS,0.0019176814675438208,0.1208753063601629
P2,14,,PASS,0.0019176814675438208,0.13759416028573365
P2,14,,PASS,0.0019176814675438208,0.14240107637763072
P2,15,,PASS,0.008190172780856503,0.10666625783016893
P2,15,,PASS,0.008190172780856503,0.0224330224865958
P2,15,,PASS,0.008190172780856503,0.02348943334696275
P2,15,,PASS,0.008190172780856503,0.06781112311604982
P2,15,,PASS,0.008190172780856503,0.1398853330419025
P2,16,,CHECKPOINT_INVALID,0.02290054188144901,
P2,16,,CHECKPOINT_INVALID,0.02290054188144901,
P2,16,,CHECKPOINT_INVALID,0.02290054188144901,
P2,16,,CHECKPOINT_INVALID,0.02290054188144901,
P2,16,,CHECKPOINT_INVALID,0.02290054188144901,
P2,17,,PASS,0.00950189403568376,0.03149937592758895
P2,17,,PASS,0.00950189403568376,0.047254812522354604
P2,17,,PASS,0.00950189403568376,0.05052311995870403
P2,17,,PASS,0.00950189403568376,0.050348360263271254
P2,17,,PASS,0.00950189403568376,0.03995110553141311
P2,18,,PASS,0.002398738070498483,0.03585495258144255
P2,18,,PASS,0.002398738070498483,0.003742369064759608
P2,18,,PASS,0.002398738070498483,0.023852398265438782
P2,18,,PASS,0.002398738070498483,0.04233692594228018
P2,18,,PASS,0.002398738070498483,0.06958733770355059
P2,19,,PASS,0.007474919465477967,0.03844341700973197
P2,19,,PASS,0.007474919465477967,0.02345851738654315
P2,19,,PASS,0.007474919465477967,0.013275576479340703
P2,19,,PASS,0.007474919465477967,0.002187926973998648
P2,19,,PASS,0.007474919465477967,0.019668916704327098
P5,10,,CHECKPOINT_INVALID,0.022810331015410707,0.0022450174259602573
P5,11,,PROFILE_FAILURE,0.009133906710933096,0.005668015649371873
P5,12,,PROFILE_FAILURE,0.0055774011300089256,0.0025762256313147836
P5,13,,PROFILE_FAILURE,0.00913059498790727,0.0038974581649726765
P5,14,,PROFILE_FAILURE,0.0029898390950062344,0.0024149086545986014
P5,15,,PROFILE_FAILURE,0.00549045726474042,0.006467752010464224
P5,16,,PROFILE_FAILURE,0.005805433992441677,0.002437653927965653
P5,17,,PROFILE_FAILURE,0.010374123916550184,0.010580237012142727
P5,18,,PASS,0.002121325320410905,0.0018451017539826268
P5,19,,PROFILE_FAILURE,0.0023366059370264294,0.002425791116560704
P6,10,,SOLVER_FAILURE,0.0029996405178550666,0.003944475818648714
P6,11,,SOLVER_FAILURE,0.0009050524079807697,0.0006473963176554012
P6,12,,CHECKPOINT_INVALID,0.036276814070262293,0.06257335048609654
P6,13,,CHECKPOINT_INVALID,0.027378825185490892,0.015008872102850564
P6,14,,PROFILE_FAILURE,0.013592716510536118,0.008078879374185197
P6,15,,PROFILE_FAILURE,0.007994239886665127,0.004904926802253187
P6,16,,CHECKPOINT_INVALID,0.07883613649662169,0.04325635852805891
P6,17,,SOLVER_FAILURE,0.0062845877929716566,0.005174173351367255
P6,18,,CHECKPOINT_INVALID,0.029256026548763928,0.006300124606751758
P6,19,,SOLVER_FAILURE,0.019839072859990124,0.01813932210833512
P7,10,noise=0.0_fraction=1.0,CHECKPOINT_INVALID,0.022810331015410707,0.0022450174259602573
P7,11,noise=0.0_fraction=1.0,PASS,0.009133906710933096,0.005668015649371873
P7,12,noise=0.0_fraction=1.0,PASS,0.0055774011300089256,0.0025762256313147836
P7,13,noise=0.0_fraction=1.0,PASS,0.00913059498790727,0.0038974581649726765
P7,14,noise=0.0_fraction=1.0,PASS,0.0029898390950062344,0.0024149086545986014
P7,10,noise=0.0_fraction=0.5,PASS,0.007470771519586852,0.009926352599897782
P7,11,noise=0.0_fraction=0.5,PASS,0.017132222204514002,0.012844416737388975
P7,12,noise=0.0_fraction=0.5,SOLVER_FAILURE,0.0008409280754738404,0.0005649929619592518
P7,13,noise=0.0_fraction=0.5,PASS,0.004676899728017285,0.002013399625393533
P7,14,noise=0.0_fraction=0.5,SOLVER_FAILURE,0.007093270387736368,0.0064574334423000545
P7,10,noise=0.0_fraction=0.25,PASS,0.0051539220754663415,0.0036313668798981505
P7,11,noise=0.0_fraction=0.25,PASS,0.005679691338570311,0.0004888722523990691
P7,12,noise=0.0_fraction=0.25,SOLVER_FAILURE,0.0028343243161294057,0.0018065309205422143
P7,13,noise=0.0_fraction=0.25,PASS,0.002628036877423117,0.002196582130026576
P7,14,noise=0.0_fraction=0.25,PASS,0.009779981171323546,0.0018989463605995508
P7,10,noise=0.01_fraction=1.0,PASS,0.018623612017154744,0.003924435177385391
P7,11,noise=0.01_fraction=1.0,PASS,0.015829607110391917,0.002892352698877575
P7,12,noise=0.01_fraction=1.0,PASS,0.006571971746916051,0.00773818818803073
P7,13,noise=0.01_fraction=1.0,PASS,0.0031300508662195983,0.0019150076526149118
P7,14,noise=0.01_fraction=1.0,PASS,0.008830846155636635,0.006874149551841825
P7,10,noise=0.01_fraction=0.5,PASS,0.011039963696549361,0.0009656325695294888
P7,11,noise=0.01_fraction=0.5,PASS,0.006390447186786608,0.013477922358796806
P7,12,noise=0.01_fraction=0.5,PASS,0.013261572933177503,0.006451142188199156
P7,13,noise=0.01_fraction=0.5,SOLVER_FAILURE,0.0006003325226840864,0.00013839825307673814
P7,14,noise=0.01_fraction=0.5,PASS,0.006081060952260068,0.003670055691453636
P7,10,noise=0.01_fraction=0.25,CHECKPOINT_INVALID,0.04163165561211768,0.009783415137110996
P7,11,noise=0.01_fraction=0.25,PASS,0.005522633049797894,0.00604789850649274
P7,12,noise=0.01_fraction=0.25,SOLVER_FAILURE,0.007889256109778099,8.523500507773651e-05
P7,13,noise=0.01_fraction=0.25,PASS,0.0013741673566663455,9.677825028491088e-05
P7,14,noise=0.01_fraction=0.25,SOLVER_FAILURE,0.0035089444570979276,0.007429289086239096
P7,10,noise=0.05_fraction=1.0,PASS,0.008124371417600126,0.0026381280606166692
P7,11,noise=0.05_fraction=1.0,PASS,0.007147351739894471,0.008574775749810467
P7,12,noise=0.05_fraction=1.0,PASS,0.00922484664081185,0.009691647344326182
P7,13,noise=0.05_fraction=1.0,PASS,0.002784423611783544,0.0039017608390053485
P7,14,noise=0.05_fraction=1.0,PASS,0.012930887018999894,0.01007350726906269
P7,10,noise=0.05_fraction=0.5,PASS,0.003133168465568112,0.00039123372851160336
P7,11,noise=0.05_fraction=0.5,PASS,0.002069330078320305,0.0031107736419160705
P7,12,noise=0.05_fraction=0.5,PASS,0.01468310168832177,0.00028155251772824034
P7,13,noise=0.05_fraction=0.5,PASS,0.0046976043356258945,0.007182391013771138
P7,14,noise=0.05_fraction=0.5,SOLVER_FAILURE,0.0019078316419047369,0.000425404945761435
P7,10,noise=0.05_fraction=0.25,PASS,0.009481556613471187,0.002404191992968458
