experiment_id,branch_or_ref,commit,actual_path,sha256,protocol_path,checkpoint_path,raw_result_path,pde,parameterization,architecture,dtype,planned_n,available_n,historical_valid_n,status,reuse_decision,reason
E0_burgers_55,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_55.json,0a9675fc92a1582e708edb6cf531f45cb49db7fb27b7a4be6e08e9621b92565f,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_55.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_56,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_56.json,910873f8b314ebfdf7e7db39d6b7679e6c727c20114b80440423621155de33bc,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_56.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_57,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_57.json,8a6128bfab73cc8b0baba77ab399adc2fad312226078996d7b58f092c1e55ed2,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_57.json,burgers,log physical parameter,,float64,15,0,0,HISTORICAL_INVALID_OR_MISSING,retain_failure,frozen center policy failed
E0_burgers_58,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,9e5771bdbdc7b11449cd6e5b12535f354f05c29462b2080aab05a6c088529115,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_58.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_59,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,c114a44f04d4fa224ac87315a478f79a22596d161a0c12579f998cf31be74b69,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_59.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_60,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,e9279d0066d2e70f795eff0bd9a61085ddafe6ea718ebaf52f0166fe438f4252,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_60.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_61,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_61.json,309a291b6ca56fcac0ddc00709cca5568f3f62042b046f50b4f7589a967f094e,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_61.json,burgers,log physical parameter,,float64,15,0,0,HISTORICAL_INVALID_OR_MISSING,retain_failure,frozen center policy failed
E0_burgers_62,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_62.json,1ec4ec3b09ca34c62c863d8744fac2f5560b445cd55c6c1c9b4778b8babb352e,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_62.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
E0_burgers_63,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_63.json,044553b825d9c26331914cf41dfbde143970d44e37bf20df0f6ff1ae54cd5205,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_63.json,burgers,log physical parameter,,float64,15,0,0,HISTORICAL_INVALID_OR_MISSING,retain_failure,frozen center policy failed
E0_burgers_64,posthoc/exact-fixed-state-decomposition-v3,39343bc32ae38ea2ad118011105cf4cb2c2f3241,C:\Users\RZF\Desktop\博士课题资料\SAEPS\outputs\posthoc\exact_fixed_state_v3\burgers\seed_64.json,e627436c9468e2e3060aa3d3ad9120ccdd6d8c67e6a301c3b7b7ddc5311be627,C:\Users\RZF\Desktop\博士课题资料\SAEPS\configs\posthoc_exact_fixed_state_v3.yaml,,outputs/runs/v4_2_corrected_confirmation/records/seed_64.json,burgers,log physical parameter,one-hidden-layer tanh; n=65,float64,15,1,1,MATRIX_AVAILABLE,retrospective_E0,Matrices available; original theta/data/gradient tensors not archived in this record
