root,offset,method,status,replay_actual,historical_actual,replay_absolute_difference,strict_actual,predicted,objective_precision_change,local_remaining_gradient_energy,error_estimate,error_estimate_status,stationarity_pass,SPD_pass,root_min_eigen,root_normalized_gradient,start_grad,candidate_grad,branch_consistency_status,numerical_descent_resolved,parameter_error_improved,start_task,strict_start_task,candidate_task,strict_candidate_task
burgers_55,0.05,RAW,UNRESOLVED,0.034684621523962456,0.034685102432692405,4.809087299495474e-07,0.03465539069243939,0.01773972620220885,2.923703653023857e-05,2.4381285794832658e-06,0.00031675165111854156,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.4445615272682627e-08,1.9171797148054153e-07,unresolved_precision_or_local_branch,False,True,burgers_55_plus_start,burgers_55_plus_start_strict,burgers_55_plus_candidate0,burgers_55_plus_candidate0_strict
burgers_55,0.05,SAEPS-GN,UNRESOLVED,0.3658733890604806,0.3658024251434131,7.096391706751248e-05,0.36646747008352576,0.3471412647451231,0.0006525488910984478,9.096480765857524e-07,0.006534585391771659,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.4445615272682627e-08,4.358519308344284e-08,unresolved_precision_or_local_branch,False,True,burgers_55_plus_start,burgers_55_plus_start_strict,burgers_55_plus_candidate1,burgers_55_plus_candidate1_strict
burgers_55,0.05,SO,UNRESOLVED,0.3658733890604806,0.3658024251434131,7.096391706751248e-05,0.36646747008352576,0.35937749998037216,0.0006525488910984478,9.096480765857524e-07,0.006534585391771659,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.4445615272682627e-08,4.358519308344284e-08,unresolved_precision_or_local_branch,False,True,burgers_55_plus_start,burgers_55_plus_start_strict,burgers_55_plus_candidate1,burgers_55_plus_candidate1_strict
burgers_55,0.05,EXACT-REDUCED-ORACLE,UNRESOLVED,0.3658733890604806,0.3658024251434131,7.096391706751248e-05,0.36646747008352576,0.36124377253260853,0.0006525488910984478,9.096480765857524e-07,0.006534585391771659,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.4445615272682627e-08,4.358519308344284e-08,unresolved_precision_or_local_branch,False,True,burgers_55_plus_start,burgers_55_plus_start_strict,burgers_55_plus_candidate1,burgers_55_plus_candidate1_strict
burgers_55,-0.05,RAW,UNRESOLVED,0.09312371593131674,0.0931251360941796,1.4201628628640606e-06,0.09308628516013728,0.04755097320459776,4.282813879452618e-05,1.9877058765721753e-07,0.00043026909385246345,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.2188259005376574e-08,6.492623443022177e-08,unresolved_precision_or_local_branch,False,True,burgers_55_minus_start,burgers_55_minus_start_strict,burgers_55_minus_candidate0,burgers_55_minus_candidate0_strict
burgers_55,-0.05,SAEPS-GN,UNRESOLVED,0.6548442213671533,0.6548179748645202,2.6246502633053836e-05,0.6548591206385261,0.6410254906147062,9.515818134686604e-05,1.2011468328331737e-06,0.0009635932818276216,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.2188259005376574e-08,1.3972397667777775e-07,unresolved_precision_or_local_branch,False,True,burgers_55_minus_start,burgers_55_minus_start_strict,burgers_55_minus_candidate1,burgers_55_minus_candidate1_strict
burgers_55,-0.05,SO,UNRESOLVED,0.6548442213671533,0.6548179748645202,2.6246502633053836e-05,0.6548591206385261,0.6516820343853079,9.515818134686604e-05,1.2011468328331737e-06,0.0009635932818276216,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.2188259005376574e-08,1.3972397667777775e-07,unresolved_precision_or_local_branch,False,True,burgers_55_minus_start,burgers_55_minus_start_strict,burgers_55_minus_candidate1,burgers_55_minus_candidate1_strict
burgers_55,-0.05,EXACT-REDUCED-ORACLE,UNRESOLVED,0.6548442213671533,0.6548179748645202,2.6246502633053836e-05,0.6548591206385261,0.6537360182865672,9.515818134686604e-05,1.2011468328331737e-06,0.0009635932818276216,numerical_precision_audit_not_rigorous_bound,False,True,0.06465202373163316,3.5562007749970674e-07,1.2188259005376574e-08,1.3972397667777775e-07,unresolved_precision_or_local_branch,False,True,burgers_55_minus_start,burgers_55_minus_start_strict,burgers_55_minus_candidate1,burgers_55_minus_candidate1_strict
allen_cahn_84,0.05,RAW,UNRESOLVED,0.009034037609795681,0.009034036755575348,8.542203333572473e-10,0.008953535677901803,0.004593181415804446,8.050293620906479e-05,1.53301750737536e-05,0.0009583311128423947,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,3.750854784589344e-08,3.9019533004321444e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_plus_start,allen_cahn_84_plus_start_strict,allen_cahn_84_plus_candidate0,allen_cahn_84_plus_candidate0_strict
allen_cahn_84,0.05,SAEPS-GN,UNRESOLVED,0.07411770723271993,0.07411929873371863,1.5915009986960937e-06,0.07403720558357157,0.07339720765884997,8.050321895458623e-05,1.813075065986223e-05,0.0009863396961586955,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,3.750854784589344e-08,6.806510814640921e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_plus_start,allen_cahn_84_plus_start_strict,allen_cahn_84_plus_candidate1,allen_cahn_84_plus_candidate1_strict
allen_cahn_84,0.05,SO,UNRESOLVED,0.07411770723271993,0.07411929873371863,1.5915009986960937e-06,0.07403720558357157,0.07769891542125001,8.050321895458623e-05,1.813075065986223e-05,0.0009863396961586955,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,3.750854784589344e-08,6.806510814640921e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_plus_start,allen_cahn_84_plus_start_strict,allen_cahn_84_plus_candidate1,allen_cahn_84_plus_candidate1_strict
allen_cahn_84,0.05,EXACT-REDUCED-ORACLE,UNRESOLVED,0.07411770723271993,0.07411929873371863,1.5915009986960937e-06,0.07403720558357157,0.07899575827009797,8.050321895458623e-05,1.813075065986223e-05,0.0009863396961586955,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,3.750854784589344e-08,6.806510814640921e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_plus_start,allen_cahn_84_plus_start_strict,allen_cahn_84_plus_candidate1,allen_cahn_84_plus_candidate1_strict
allen_cahn_84,-0.05,RAW,UNRESOLVED,0.024043396030349107,0.024043335294600232,6.073574887466293e-08,0.023984315209919727,0.012233279386639288,6.81735720098331e-05,5.2883981634897e-06,0.0007346197017474387,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,2.4118185018728604e-08,3.131558303337841e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_minus_start,allen_cahn_84_minus_start_strict,allen_cahn_84_minus_candidate0,allen_cahn_84_minus_candidate0_strict
allen_cahn_84,-0.05,SAEPS-GN,UNRESOLVED,0.13908811167314247,0.1391014475092404,1.3335836097916332e-05,0.1391689094711741,0.13269058362308392,0.00020805219047084766,5.087498291951908e-06,0.0021313968876422065,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,2.4118185018728604e-08,2.873896766910988e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_minus_start,allen_cahn_84_minus_start_strict,allen_cahn_84_minus_candidate1,allen_cahn_84_minus_candidate1_strict
allen_cahn_84,-0.05,SO,UNRESOLVED,0.13908811167314247,0.1391014475092404,1.3335836097916332e-05,0.1391689094711741,0.14020069824869097,0.00020805219047084766,5.087498291951908e-06,0.0021313968876422065,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,2.4118185018728604e-08,2.873896766910988e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_minus_start,allen_cahn_84_minus_start_strict,allen_cahn_84_minus_candidate1,allen_cahn_84_minus_candidate1_strict
allen_cahn_84,-0.05,EXACT-REDUCED-ORACLE,UNRESOLVED,0.13908811167314247,0.1391014475092404,1.3335836097916332e-05,0.1391689094711741,0.14168276321949036,0.00020805219047084766,5.087498291951908e-06,0.0021313968876422065,numerical_precision_audit_not_rigorous_bound,False,True,0.0014511725826970928,7.889853933245956e-07,2.4118185018728604e-08,2.873896766910988e-08,unresolved_precision_or_local_branch,False,True,allen_cahn_84_minus_start,allen_cahn_84_minus_start_strict,allen_cahn_84_minus_candidate1,allen_cahn_84_minus_candidate1_strict
