center,status,terminal_F,true_error_energy,true_relative,old_estimated_pass,new_estimated_pass,quadrant,upper_effectivity,old_upper_effectivity,relative_estimate,interval_contains_reference,lower,upper,iterations,A_matvec_count,residual_norm,replay_seconds,spectrum_seconds,estimate_seconds,oracle_seconds,bound_status,failure_reason
allen_cahn_75,PASS,4.949727492786593,0.0023261964428037706,0.00047018551830894895,True,False,Q2,314.66003746101023,97.39733372256504,0.17354234082657724,True,0.0002950258495849185,0.7319610598343033,8,9,0.06838551200194844,0.004363600048236549,0.0003501999890431762,9.410001803189516e-05,2.429995220154524e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_76,PASS,8.167915801625782,0.004474441237002264,0.000548107230697272,True,False,Q2,269.1893196391136,145.2613775312807,0.1729707010999238,True,0.0005124558788730955,1.2044717923538333,8,9,0.09239905918231095,0.004236200009472668,0.000291300006210804,9.019998833537102e-05,2.1200045011937618e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_77,PASS,4.628247844041184,0.003179203644815958,0.000687385181064794,True,True,Q1,19.728843903116875,13.57021701503664,0.013738179293766644,True,3.3973712452220684e-06,0.06272201244479425,8,9,0.009695329816334483,0.006138499942608178,0.00031430006492882967,8.489994797855616e-05,2.0900042727589607e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_78,PASS,4.797172052200253,0.002451956400425989,0.0005113867653241954,True,False,Q2,10990.091952540553,134.79522215909742,,True,7.49956023451564e-05,26.947226304301967,8,9,0.18790377901500624,0.003367000026628375,0.0002711999695748091,8.110003545880318e-05,1.8600025214254856e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_79,PASS,3.4714625445597704,0.004071278568062536,0.001174161857069254,True,False,Q2,343.9107847306269,46.37377879208369,0.6759776921142223,True,0.0004919500128670754,1.4001566071993696,8,9,0.11293655239439643,0.003867699997499585,0.0003165999660268426,9.630003478378057e-05,2.329994458705187e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_80,PASS,3.7989307684246967,0.005269399613799436,0.0013890010471469944,True,False,Q2,355.3114383954607,34.471810328972396,0.971777553505104,True,0.0007586613482849005,1.8722779562595626,8,9,0.19683122697028832,0.004617600003257394,0.00032029999420046806,8.559995330870152e-05,2.22999369725585e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_81,CHECKPOINT_INVALID,,,,,,,,,,,,,,,,,,,,,frozen center policy failed
allen_cahn_82,PASS,5.581888695783931,0.011262552807391246,0.002021775024624674,True,False,Q2,922.7084864211174,40.41017615503744,,True,0.0003490136623178621,10.392053054145883,8,9,0.168191478813879,0.005581800010986626,0.00032320001628249884,0.00010439998004585505,2.1400046534836292e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_83,PASS,5.0313253067727,0.0026100998015274267,0.000519039097284554,True,False,Q2,18621.90883931435,125.84969414156551,,True,0.0006261638941765447,48.605040565556216,8,9,0.5329215863907155,0.005235699936747551,0.0002992000663653016,8.399994112551212e-05,2.1000043489038944e-05,dense_assisted_numerical_estimate_not_certificate,
allen_cahn_84,PASS,5.274772730164472,0.01597655818499278,0.0030380637816162016,False,False,Q2,429.38138590856835,17426.139466014927,,True,0.002821723776863378,6.860036695521081,8,9,0.09975351851582318,0.0076376000652089715,0.00029429991263896227,8.700008038431406e-05,2.1099927835166454e-05,dense_assisted_numerical_estimate_not_certificate,
