status,execution_disposition,failure_reason,group,seed
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1016
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1017
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1018
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1019
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1020
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1021
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1022
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1023
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1024
,PROTOCOL_STOP,E1_root_invalid,allen_cahn,1025
,PROTOCOL_STOP,E1_root_invalid,burgers,1006
,PROTOCOL_STOP,E1_root_invalid,burgers,1007
,PROTOCOL_STOP,E1_root_invalid,burgers,1008
,PROTOCOL_STOP,E1_root_invalid,burgers,1009
,PROTOCOL_STOP,E1_root_invalid,burgers,1010
,PROTOCOL_STOP,E1_root_invalid,burgers,1011
,PROTOCOL_STOP,E1_root_invalid,burgers,1012
,PROTOCOL_STOP,E1_root_invalid,burgers,1013
,PROTOCOL_STOP,E1_root_invalid,burgers,1014
,PROTOCOL_STOP,E1_root_invalid,burgers,1015
