group,seed,status,binding_valid,failure_reason,state_gradient,unanchored_state_SPD,anchored_state_SPD,reload_bitwise,metrics,gamma,checkpoint_sha256,training_seconds,root_lbfgs_seconds,root_corrector_seconds,curvature_seconds,counts,explicit_JVP_VJP_counts,explicit_jacobians,explicit_hessians,CG_iterations
multi,1026,CHECKPOINT_INVALID,False,trial_budget_exhausted,0.0002713070961103001,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.10284248667575854, ""eigen_residual"": 3.640930417948955e-10, ""orthogonality_error"": 2.892345590742376e-15, ""symmetry_error"": 3.902808190002295e-17, ""numerical_margin"": 1.4124215043687813e-07, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.0989093676984858, ""eigen_residual"": 2.16369295538261e-10, ""orthogonality_error"": 3.1500958260506716e-15, ""symmetry_error"": 3.902808150974304e-17, ""numerical_margin"": 1.4119580457375587e-07, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.003933118976496398,b0e4876e7a8db289d5083f747f22d91b32406b2481fd97c384ec986171b4b9ac,6.808112200000323,5.557016400038265,9.869017200078815,0.11029129999224097,"{""objective"": 1500, ""gradient"": 1500, ""hessian"": 162}",0,1,163,0
multi,1027,CHECKPOINT_INVALID,False,trial_budget_exhausted,7.746126831767149e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.07680336328701415, ""eigen_residual"": 1.046099428595447e-10, ""orthogonality_error"": 3.5069563026632263e-15, ""symmetry_error"": 4.256022662292891e-17, ""numerical_margin"": 4.511660063213175e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.07554884743934483, ""eigen_residual"": 1.220536905926687e-10, ""orthogonality_error"": 3.1604698386993552e-15, ""symmetry_error"": 4.256022619732675e-17, ""numerical_margin"": 4.509057754220425e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.001254515848967744,da99573af3356cd531756da3128dc6c80f2653351ee89c1ef862d3d59f923252,6.671485600061715,5.392068800050765,9.861070899991319,0.12124559993389994,"{""objective"": 1475, ""gradient"": 1475, ""hessian"": 162}",0,1,163,0
multi,1028,CHECKPOINT_INVALID,False,trial_budget_exhausted,0.0003329351534703418,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.47617187099711566, ""eigen_residual"": 7.129642501085886e-11, ""orthogonality_error"": 3.269920227405499e-15, ""symmetry_error"": 5.757130640585233e-17, ""numerical_margin"": 5.4816876680417167e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.4746451007053817, ""eigen_residual"": 5.5185333373729396e-11, ""orthogonality_error"": 3.0486793176490113e-15, ""symmetry_error"": 5.757130583014104e-17, ""numerical_margin"": 5.4766987628198884e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0015267702879444179,cb98dc2f4c925016cb28130df86640078740891ff76d050a004cc04a9e5e7be4,6.4906351999379694,5.516487700049765,9.599564400035888,0.10407370002940297,"{""objective"": 1493, ""gradient"": 1493, ""hessian"": 162}",0,1,163,0
multi,1029,CHECKPOINT_INVALID,False,trial_budget_exhausted,5.819572328825053e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.03823928806191715, ""eigen_residual"": 1.0550960538787798e-10, ""orthogonality_error"": 3.1902184213784416e-15, ""symmetry_error"": 5.485753484831204e-17, ""numerical_margin"": 5.582830862092654e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.03668490914488373, ""eigen_residual"": 1.7990006762591838e-10, ""orthogonality_error"": 3.261380353658713e-15, ""symmetry_error"": 5.48575342997369e-17, ""numerical_margin"": 5.5913760905613054e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0015543789170072786,15da13847ea138e5989d544452786a5a2f7625e9ea6b07e7f5fca5adb91375c4,6.511933400062844,5.6479445999721065,9.718138099997304,0.10558240010868758,"{""objective"": 1526, ""gradient"": 1526, ""hessian"": 162}",0,1,163,0
multi,1030,CHECKPOINT_INVALID,False,trial_budget_exhausted,8.670671747109987e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.03671198912490955, ""eigen_residual"": 1.0978151993066838e-10, ""orthogonality_error"": 3.47538614602986e-15, ""symmetry_error"": 4.198804609525155e-17, ""numerical_margin"": 9.197845862760456e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.03415131124054305, ""eigen_residual"": 1.7171218751246137e-10, ""orthogonality_error"": 2.8029498070518717e-15, ""symmetry_error"": 4.198804567537023e-17, ""numerical_margin"": 9.186820127583919e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.002560677883259634,e3162729e0885cc654b7d1043852cfc9811dbb10eac1d123b1396871a605d13b,6.415472400025465,5.570099500007927,9.631423800019547,0.11125349998474121,"{""objective"": 1504, ""gradient"": 1504, ""hessian"": 162}",0,1,163,0
multi,1031,CHECKPOINT_INVALID,False,trial_budget_exhausted,9.973519192626125e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.12440446740478474, ""eigen_residual"": 6.926572318771833e-11, ""orthogonality_error"": 4.601591293348256e-15, ""symmetry_error"": 4.139301352677114e-17, ""numerical_margin"": 5.102744693199139e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.12298854649385628, ""eigen_residual"": 5.167894542159915e-11, ""orthogonality_error"": 3.5353090387948485e-15, ""symmetry_error"": 4.1393013112841687e-17, ""numerical_margin"": 5.085888327355891e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0014159209100033088,cc02f9d293f7ca8696e5a8c70c1807594a974eb98c6e2bdf05f5bbc9b2cafd79,6.452918600058183,5.498782999929972,9.615752000012435,0.11121959995944053,"{""objective"": 1481, ""gradient"": 1481, ""hessian"": 162}",0,1,163,0
multi,1032,CHECKPOINT_INVALID,False,trial_budget_exhausted,8.760350916118035e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.06192867536675763, ""eigen_residual"": 9.64931884611005e-11, ""orthogonality_error"": 3.636481132599415e-15, ""symmetry_error"": 4.0554654537411645e-17, ""numerical_margin"": 5.898988764160861e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.06028786083686776, ""eigen_residual"": 7.899040995532538e-11, ""orthogonality_error"": 3.1669102332806437e-15, ""symmetry_error"": 4.05546541318647e-17, ""numerical_margin"": 5.889533764648423e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0016408145298439532,0d6185b4dbe984bddd73b0a33a4a8eb2c99d30c723bd1f71fd489a47884b7ea4,6.628371299942955,5.518021100084297,9.671614599996246,0.10957670002244413,"{""objective"": 1498, ""gradient"": 1498, ""hessian"": 162}",0,1,163,0
multi,1033,CHECKPOINT_INVALID,False,trial_budget_exhausted,0.00018785614362848137,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.24110073194941758, ""eigen_residual"": 6.3103088180384e-10, ""orthogonality_error"": 4.078838862398509e-15, ""symmetry_error"": 3.778845776029591e-17, ""numerical_margin"": 3.458775982407213e-07, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.2314937156858425, ""eigen_residual"": 5.519230762123271e-10, ""orthogonality_error"": 4.568959981513579e-15, ""symmetry_error"": 3.7788457382411426e-17, ""numerical_margin"": 3.4626935416783055e-07, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.009607016262619821,b67db8d67158a7e5b1820ade72010e46978b078a1941f711c89cd288e7b2cdd5,6.650707499939017,5.647926699952222,9.691485499963164,0.10769680002704263,"{""objective"": 1519, ""gradient"": 1519, ""hessian"": 162}",0,1,163,0
multi,1034,CHECKPOINT_INVALID,False,trial_budget_exhausted,5.955632217797361e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.07964254565789816, ""eigen_residual"": 8.083922369503776e-11, ""orthogonality_error"": 2.7554157703487117e-15, ""symmetry_error"": 4.466903029404409e-17, ""numerical_margin"": 4.183636393418879e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.07847634880822212, ""eigen_residual"": 1.1114134250349598e-10, ""orthogonality_error"": 2.82703368825934e-15, ""symmetry_error"": 4.466902984735324e-17, ""numerical_margin"": 4.187501851950353e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0011661968498923574,112fd83cd50cb22ed4ad2d5bd124198950e199e71dc96c41a4afb51ed7d6c8f5,6.527493800036609,5.579513999982737,9.669669499970041,0.10586840007454157,"{""objective"": 1512, ""gradient"": 1512, ""hessian"": 162}",0,1,163,0
multi,1035,CHECKPOINT_INVALID,False,trial_budget_exhausted,6.059572185546265e-05,"{""mu_value"": null, ""lambda_min_A_numeric"": -0.052685497927549334, ""eigen_residual"": 7.942946686857062e-11, ""orthogonality_error"": 3.1701916802574992e-15, ""symmetry_error"": 5.666801203018388e-17, ""numerical_margin"": 6.337294758337283e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}","{""mu_value"": null, ""lambda_min_A_numeric"": -0.050919839181856656, ""eigen_residual"": 1.3579445694741728e-10, ""orthogonality_error"": 2.902385435831823e-15, ""symmetry_error"": 5.66680114635035e-17, ""numerical_margin"": 6.338202778611919e-08, ""mu_source"": ""dense_eigh_with_numerical_margin"", ""bound_status"": ""indicator_only"", ""spd_status"": ""not_SPD""}",True,,0.0017656587439128617,aab521a85835b68e25df13910842da66b5369331cf6dd63f55163f7939c72936,6.510694299940951,5.543455299921334,9.667646799935028,0.10837159992661327,"{""objective"": 1493, ""gradient"": 1493, ""hessian"": 162}",0,1,163,0
