status,failure_reason,F_SO,F_GN,F_RAW,solves,GN_seconds,SO_increment_seconds,GN_quadratic_diagnostic_seconds,total_seconds,operation_counts,HVP_count,A_matvec_count,explicit_jacobians,explicit_hessians,forbidden_entry_attempts,route,CG_stability,pass_label,n,m,shared_process_memory,numerical_status,execution_disposition,attempted,upstream_gate
PASS,,[[4.859008773199684]],[[4.859008241438384]],[[5.000000000000003]],"[{""iterations"": 9, ""verified_relative_residual"": 7.489145327365838e-11, ""target_converged"": true}]",7.5431363000534475,0.5808367000427097,0.23459629993885756,8.48442860005889,"{""residual"": 1, ""jvp_parameter"": 1, ""vjp_theta"": 21, ""jvp_theta"": 21}",1,20,0,0,[],true_MF_GN_plus_AD_HVP,two_pass_A_conjugacy_reorthogonalization_true_residual_each_iteration,cold,100001,213,"{""exit_code"": 0, ""status"": ""PASS"", ""failure_reason"": null, ""wall_seconds"": 51.27064070000779, ""sampled_peak_rss_bytes"": 1046962176, ""os_peak_working_set_bytes"": 1047072768, ""memory_limit_bytes"": 9274638336, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [37068, 52012], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",PASS,COMPLETED,,
PASS,,[[4.859008773199684]],[[4.859008241438384]],[[5.000000000000003]],"[{""iterations"": 9, ""verified_relative_residual"": 7.489145327365838e-11, ""target_converged"": true}]",7.180654300027527,0.5387480000499636,0.24386010004673153,8.087040000013076,"{""residual"": 1, ""jvp_parameter"": 1, ""vjp_theta"": 21, ""jvp_theta"": 21}",1,20,0,0,[],true_MF_GN_plus_AD_HVP,two_pass_A_conjugacy_reorthogonalization_true_residual_each_iteration,warmup,100001,213,"{""exit_code"": 0, ""status"": ""PASS"", ""failure_reason"": null, ""wall_seconds"": 51.27064070000779, ""sampled_peak_rss_bytes"": 1046962176, ""os_peak_working_set_bytes"": 1047072768, ""memory_limit_bytes"": 9274638336, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [37068, 52012], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",PASS,COMPLETED,,
PASS,,[[4.859008773199684]],[[4.859008241438384]],[[5.000000000000003]],"[{""iterations"": 9, ""verified_relative_residual"": 7.489145327365838e-11, ""target_converged"": true}]",7.317214999930002,0.5271287000505254,0.20416890003252774,8.178370599984191,"{""residual"": 1, ""jvp_parameter"": 1, ""vjp_theta"": 21, ""jvp_theta"": 21}",1,20,0,0,[],true_MF_GN_plus_AD_HVP,two_pass_A_conjugacy_reorthogonalization_true_residual_each_iteration,steady_1,100001,213,"{""exit_code"": 0, ""status"": ""PASS"", ""failure_reason"": null, ""wall_seconds"": 51.27064070000779, ""sampled_peak_rss_bytes"": 1046962176, ""os_peak_working_set_bytes"": 1047072768, ""memory_limit_bytes"": 9274638336, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [37068, 52012], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",PASS,COMPLETED,,
PASS,,[[4.859008773199684]],[[4.859008241438384]],[[5.000000000000003]],"[{""iterations"": 9, ""verified_relative_residual"": 7.489145327365838e-11, ""target_converged"": true}]",7.25994380004704,0.5262421000516042,0.24294290004763752,8.171743000042625,"{""residual"": 1, ""jvp_parameter"": 1, ""vjp_theta"": 21, ""jvp_theta"": 21}",1,20,0,0,[],true_MF_GN_plus_AD_HVP,two_pass_A_conjugacy_reorthogonalization_true_residual_each_iteration,steady_2,100001,213,"{""exit_code"": 0, ""status"": ""PASS"", ""failure_reason"": null, ""wall_seconds"": 51.27064070000779, ""sampled_peak_rss_bytes"": 1046962176, ""os_peak_working_set_bytes"": 1047072768, ""memory_limit_bytes"": 9274638336, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [37068, 52012], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",PASS,COMPLETED,,
PASS,,[[4.859008773199684]],[[4.859008241438384]],[[5.000000000000003]],"[{""iterations"": 9, ""verified_relative_residual"": 7.489145327365838e-11, ""target_converged"": true}]",7.297066100058146,0.49592669995035976,0.2312847999855876,8.166512499912642,"{""residual"": 1, ""jvp_parameter"": 1, ""vjp_theta"": 21, ""jvp_theta"": 21}",1,20,0,0,[],true_MF_GN_plus_AD_HVP,two_pass_A_conjugacy_reorthogonalization_true_residual_each_iteration,steady_3,100001,213,"{""exit_code"": 0, ""status"": ""PASS"", ""failure_reason"": null, ""wall_seconds"": 51.27064070000779, ""sampled_peak_rss_bytes"": 1046962176, ""os_peak_working_set_bytes"": 1047072768, ""memory_limit_bytes"": 9274638336, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [37068, 52012], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",PASS,COMPLETED,,
SOLVER_FAILURE,resource_limit,,,,,,,,,,,,,,,,,cold,100001,3413,"{""exit_code"": 1, ""status"": ""SOLVER_FAILURE"", ""failure_reason"": ""resource_limit"", ""wall_seconds"": 305.658325000084, ""sampled_peak_rss_bytes"": 8928632832, ""os_peak_working_set_bytes"": 8928935936, ""memory_limit_bytes"": 8884951449, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [12460, 12532], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",SOLVER_FAILURE,INTERRUPTED,True,n100001_m3413 process memory limit
,resource_limit,,,,,,,,,,,,,,,,,warmup,100001,3413,"{""exit_code"": 1, ""status"": ""SOLVER_FAILURE"", ""failure_reason"": ""resource_limit"", ""wall_seconds"": 305.658325000084, ""sampled_peak_rss_bytes"": 8928632832, ""os_peak_working_set_bytes"": 8928935936, ""memory_limit_bytes"": 8884951449, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [12460, 12532], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",,PROTOCOL_STOP,False,n100001_m3413 process memory limit
,resource_limit,,,,,,,,,,,,,,,,,steady_1,100001,3413,"{""exit_code"": 1, ""status"": ""SOLVER_FAILURE"", ""failure_reason"": ""resource_limit"", ""wall_seconds"": 305.658325000084, ""sampled_peak_rss_bytes"": 8928632832, ""os_peak_working_set_bytes"": 8928935936, ""memory_limit_bytes"": 8884951449, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [12460, 12532], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",,PROTOCOL_STOP,False,n100001_m3413 process memory limit
,resource_limit,,,,,,,,,,,,,,,,,steady_2,100001,3413,"{""exit_code"": 1, ""status"": ""SOLVER_FAILURE"", ""failure_reason"": ""resource_limit"", ""wall_seconds"": 305.658325000084, ""sampled_peak_rss_bytes"": 8928632832, ""os_peak_working_set_bytes"": 8928935936, ""memory_limit_bytes"": 8884951449, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [12460, 12532], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",,PROTOCOL_STOP,False,n100001_m3413 process memory limit
,resource_limit,,,,,,,,,,,,,,,,,steady_3,100001,3413,"{""exit_code"": 1, ""status"": ""SOLVER_FAILURE"", ""failure_reason"": ""resource_limit"", ""wall_seconds"": 305.658325000084, ""sampled_peak_rss_bytes"": 8928632832, ""os_peak_working_set_bytes"": 8928935936, ""memory_limit_bytes"": 8884951449, ""memory_source"": ""Windows Job process tree, 20ms sum RSS samples; sum of process OS peaks is an upper estimate of simultaneous working-set peak"", ""timeout_seconds"": 1200, ""observed_process_ids"": [12460, 12532], ""process_tree_kill_enforced"": true, ""timing_kind"": ""measured""}",,PROTOCOL_STOP,False,n100001_m3413 process memory limit
