center,alpha,task_dir,terminal_status,failure_reason,achieved_normalized_gradient,gamma,labels,nfev_total,seconds_total
burgers_1006,1e-10,tasks_grid/burgers_1006_a1e-10,CURVATURE_STABILITY_UNRESOLVED,1e-10 polish state not reached within the frozen stage budget,7.771384545028965e-09,3.303337365423312e-05,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""UNRESOLVED"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": false, ""raw_local_minimum"": false}",6697,259.75293403398246
burgers_1007,1e-10,tasks_grid/burgers_1007_a1e-10,PASS,,4.4712381334104535e-11,3.0215376754142998e-05,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",362,18.130928362021223
allen_cahn_1016,1e-10,tasks_grid/allen_cahn_1016_a1e-10,PASS,,2.4401998615164624e-12,6.727446620497364e-06,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",398,8.361757451901212
allen_cahn_1017,1e-10,tasks_grid/allen_cahn_1017_a1e-10,PASS,,1.291048235912059e-11,1.5245681177119341e-05,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": false}",830,22.15152647299692
multi_1026,1e-10,tasks_grid/multi_1026_a1e-10,PASS,,1.2101331303406278e-12,3.6589115233599164e-05,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",267,16.286968083120883
multi_1027,1e-10,tasks_grid/multi_1027_a1e-10,PASS,,1.9371150768157502e-13,1.2429861661545018e-05,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",462,25.656762819970027
burgers_1006,1e-08,tasks_grid/burgers_1006_a1e-08,PASS,,9.146385614761781e-12,0.0033033373654233118,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",704,31.864284709095955
burgers_1007,1e-08,tasks_grid/burgers_1007_a1e-08,PASS,,8.435558045029162e-12,0.0030215376754142995,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": true}",254,12.337163449963555
allen_cahn_1016,1e-08,tasks_grid/allen_cahn_1016_a1e-08,PASS,,2.5446561550354785e-12,0.0006727446620497364,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": true, ""REFERENCE_CAPABLE"": true, ""raw_local_minimum"": false}",145,5.276455904124305
allen_cahn_1017,1e-08,tasks_grid/allen_cahn_1017_a1e-08,PHYSICAL_FIT_FAIL,frozen physical-fit gate violated,2.0925334278698054e-11,0.001524568117711934,"{""reference_gradient_pass"": true, ""finite_damped_or_proximal_stability_pass"": true, ""curvature_stability"": ""STABLE"", ""physical_fit_preserved"": false, ""REFERENCE_CAPABLE"": false, ""raw_local_minimum"": false}",144,4.907252171076834
